Республика Адыгея ; 70.99
Республика Башкортостан ; 69.04
Республика Бурятия ; 66.09
Республика Алтай ; 65.4
Республика Дагестан ; 74.26
Республика Ингушетия ; 76.29
Кабардино-Балкарская Республика ; 72.44
Республика Калмыкия ; 70.8
Республика Карачаево-Черкессия ; 72.85
Республика Карелия ; 67.95
Республика Коми ; 67.95
Республика Марий Эл ; 68.31
Республика Мордовия ; 70.11
Республика Саха  (Якутия) ; 67.67
Республика Северная Осетия ; 72.59
Республика Татарстан ; 71.3
Республика Тыва ; 61.39
Удмуртская республика ; 68.88
Республика Хакасия ; 67.75
Чеченская республика ; 72.13
Чувашская республика ; 69.66
Алтайский край ; 68.97
Краснодарский край ; 71.15
Красноярский край ; 68.27
Приморский край ; 67.17
Ставропольский край ; 71.57
Хабаровский край ; 66.0
Амурская область ; 64.82
Архангельская область ; 68.75
Астраханская область ; 69.84
Белгородская область ; 71.71
Брянская область ; 68.83
Владимирская область ; 68.08
Волгоградская область ; 70.5
Вологодская область ; 68.36
Воронежская область ; 70.41
Ивановская область ; 68.56
Иркутская область ; 65.93
Калининградская область ; 69.9
Калужская область ; 69.49
Камчатский край ; 66.57
Кемеровская область ; 66.18
Кировская область ; 69.32
Костромская область ; 68.45
Курганская область ; 68.36
Курская область ; 69.27
Ленинградская область ; 69.44
Липецкая область ; 69.87
Магаданская область ; 65.99
Московская область ; 70.36
Мурманская область ; 68.93
Нижегородская область ; 68.48
Новгородская область ; 66.46
Новосибирская область ; 69.68
Омская область ; 69.5
Оренбургская область ; 68.31
Орловская область ; 69.48
Пензенская область ; 70.23
Пермский край ; 67.52
Псковская область ; 66.47
Ростовская область ; 70.28
Рязанская область ; 69.34
Самарская область ; 69.02
Саратовская область ; 69.86
Сахалинская область ; 65.68
Свердловская область ; 69.29
Смоленская область ; 68.12
Тамбовская область ; 70.18
Тверская область ; 67.02
Томская область ; 69.53
Тульская область ; 68.63
Тюменская область ; 70.45
Ульяновская область ; 69.5
Челябинская область ; 68.79
Забайкальский край ; 65.75
Ярославская область ; 69.95
Санкт-Петербург ; 73.06
Еврейская автономная область ; 63.35
Ненецкий АО ; 66.71
Ханты-Мансийский АО ; 70.91
Чукотский АО ; 61.58
Ямало-Ненецкий АО ; 70.16
Москва ; 75.79
