Республика Адыгея ; 76.14
Республика Башкортостан ; 75.17
Республика Бурятия ; 72.26
Республика Алтай ; 71.28
Республика Дагестан ; 77.85
Республика Ингушетия ; 79.66
Кабардино-Балкарская Республика ; 77.19
Республика Калмыкия ; 76.62
Республика Карачаево-Черкессия ; 77.8
Республика Карелия ; 74.23
Республика Коми ; 74.58
Республика Марий Эл ; 75.08
Республика Мордовия ; 76.23
Республика Саха  (Якутия) ; 73.96
Республика Северная Осетия ; 78.19
Республика Татарстан ; 77.18
Республика Тыва ; 66.58
Удмуртская республика ; 75.26
Республика Хакасия ; 73.51
Чеченская республика ; 75.57
Чувашская республика ; 76.17
Алтайский край ; 74.72
Краснодарский край ; 76.16
Красноярский край ; 74.07
Приморский край ; 73.07
Ставропольский край ; 76.53
Хабаровский край ; 72.58
Амурская область ; 71.43
Архангельская область ; 75.0
Астраханская область ; 75.55
Белгородская область ; 77.11
Брянская область ; 75.71
Владимирская область ; 74.42
Волгоградская область ; 76.1
Вологодская область ; 75.06
Воронежская область ; 76.44
Ивановская область ; 74.79
Иркутская область ; 72.5
Калининградская область ; 75.26
Калужская область ; 75.63
Камчатский край ; 72.17
Кемеровская область ; 72.76
Кировская область ; 75.43
Костромская область ; 74.27
Курганская область ; 75.01
Курская область ; 75.67
Ленинградская область ; 75.48
Липецкая область ; 76.41
Магаданская область ; 72.64
Московская область ; 75.85
Мурманская область ; 74.62
Нижегородская область ; 74.93
Новгородская область ; 73.61
Новосибирская область ; 75.51
Омская область ; 75.24
Оренбургская область ; 74.47
Орловская область ; 75.82
Пензенская область ; 76.79
Пермский край ; 73.86
Псковская область ; 73.1
Ростовская область ; 75.68
Рязанская область ; 75.8
Самарская область ; 75.16
Саратовская область ; 75.59
Сахалинская область ; 72.24
Свердловская область ; 75.27
Смоленская область ; 74.58
Тамбовская область ; 76.68
Тверская область ; 73.48
Томская область ; 75.49
Тульская область ; 74.77
Тюменская область ; 75.89
Ульяновская область ; 75.9
Челябинская область ; 74.78
Забайкальский край ; 72.09
Ярославская область ; 76.26
Санкт-Петербург ; 77.71
Еврейская автономная область ; 69.94
Ненецкий АО ; 73.47
Ханты-Мансийский АО ; 75.73
Чукотский АО ; 66.35
Ямало-Ненецкий АО ; 74.88
Москва ; 79.81
